0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
1143.0,1095.0,1658.0,1786.0,1836.0,1633.0,1339.0,788.0,349.0,4438.0,6929.0,32.0,98.0,1.0,129.0,11627.0,-89.0,3413.0,11.2,9.9,1.3,0.1,-9.2,-9.1,2113.0,3625.0,2290.0,793.0,2183.0,26.7,27.2,26.7,43533.0,4388.0,4227.0,161.0,43533.0,60.0,263.2,231.8,90.3,81.7,7.3,6.3,6.11265925,2.869318835,0.131044057,5.798699529,5.090242595,16.04197666,0.0,11606.0,2403.0,1702.0,46.0,51.0,81.0,9611.0,5324.0,41.1,3950.0,8.8,9.6,923.0,16.7,1607.0,3.9,376.0,6.0
579.0,549.0,481.0,506.0,421.0,731.0,759.0,505.0,458.0,4868.0,24.0,33.0,12.0,0.0,52.0,4989.0,-22.0,137.0,12.2,14.2,-2.0,0.2,-2.2,-2.0,357.0,1586.0,1158.0,549.0,549.0,11.3,15.4,16.1,51058.0,2517.0,2421.0,96.0,51058.0,72.6,302.7,265.0,104.9,96.0,7.4,6.6,2.560659712,1.611081735,0.11291798,2.858514227,3.117247552,8.342593776,0.0,5039.0,1693.0,897.0,23.0,27.0,11.0,3937.0,1868.0,36.5,1437.0,9.3,7.5,295.0,12.1,478.0,3.7,144.0,6.0
3998.0,4402.0,4823.0,4000.0,4263.0,5138.0,4809.0,2732.0,1286.0,17966.0,16841.0,153.0,95.0,16.0,380.0,35451.0,-184.0,1843.0,10.8,12.4,-1.6,0.3,-3.8,-3.5,4592.0,9831.0,6736.0,3362.0,7019.0,20.9,33.3,32.9,40285.0,14591.0,13861.0,730.0,40285.0,90.0,191.3,174.8,65.9,61.2,7.1,6.7,24.76144087,1.270121847,1.175159466,13.99508091,13.02171651,40.13347631,0.0,35981.0,7858.0,47.0,24.0,28.0,93.0,28016.0,14917.0,39.7,11122.0,8.8,9.8,2747.0,16.6,4659.0,3.8,1067.0,2.0
3084.0,3551.0,3140.0,3116.0,3506.0,4647.0,5255.0,3501.0,1690.0,28763.0,218.0,1702.0,158.0,11.0,638.0,31490.0,-50.0,729.0,8.9,13.1,-4.2,0.7,2.0,2.7,2710.0,9099.0,6645.0,4854.0,5613.0,18.3,26.8,25.1,39522.0,13961.0,13274.0,687.0,39522.0,71.1,330.2,305.7,128.9,119.7,12.1,11.7,25.88082522,13.08158075,0.79995278,18.94005846,26.30432963,52.79688345,0.0,31822.0,9959.0,64.0,19.0,23.0,29.0,25552.0,12073.0,35.0,8943.0,9.8,10.7,2729.0,13.0,3317.0,3.9,992.0,6.0
1648.0,1357.0,1030.0,962.0,904.0,1130.0,1072.0,700.0,535.0,5949.0,45.0,2997.0,25.0,1.0,321.0,9338.0,-87.0,589.0,17.4,11.5,5.9,0.0,-15.1,-15.1,694.0,2196.0,1852.0,1003.0,1857.0,20.9,28.4,27.2,47412.0,3872.0,3747.0,125.0,47412.0,83.1,240.4,219.1,92.8,84.8,9.2,8.6,5.00645973,4.276130509,0.603315443,3.588139215,5.726204469,10.13993324,0.0,9319.0,2183.0,1441.0,41.0,46.0,23.0,6563.0,3128.0,35.8,2350.0,10.1,8.4,555.0,13.8,909.0,4.0,260.0,6.0
1908.0,2044.0,1744.0,1690.0,1670.0,2210.0,2078.0,1467.0,950.0,14808.0,432.0,53.0,234.0,17.0,217.0,15761.0,0.0,249.0,12.2,11.9,0.3,2.3,-2.5,-0.2,1167.0,3700.0,3842.0,2170.0,1762.0,11.4,17.0,16.2,53811.0,8806.0,8569.0,237.0,53811.0,89.6,218.2,193.1,84.8,77.9,6.9,6.5,9.597988052,4.259668995,0.589262534,6.382012867,10.79149437,20.40945742,0.0,15904.0,4425.0,379.0,15.0,19.0,67.0,12121.0,5714.0,37.8,4582.0,8.7,8.3,1001.0,12.0,1454.0,3.4,418.0,6.0
2292.0,3440.0,4537.0,2149.0,2241.0,2456.0,2365.0,1648.0,933.0,16013.0,5399.0,144.0,141.0,12.0,352.0,22061.0,-119.0,2758.0,10.1,10.9,-0.8,0.2,-4.8,-4.6,1422.0,4021.0,4090.0,3642.0,3838.0,19.9,26.4,25.1,45408.0,9580.0,9214.0,366.0,45408.0,96.4,207.6,188.2,79.9,75.0,7.0,6.5,9.552513832,1.5298662,0.644154189,6.58062064,12.33408874,26.62259985,0.0,22495.0,5000.0,117.0,3.0,5.0,19.0,17877.0,7859.0,32.8,5864.0,7.6,7.7,1377.0,11.8,2101.0,3.1,546.0,5.0
4242.0,4211.0,4148.0,4274.0,4376.0,5349.0,4853.0,3442.0,1749.0,30102.0,4857.0,194.0,402.0,45.0,1044.0,36644.0,713.0,601.0,10.6,9.1,1.5,1.0,17.1,18.2,2904.0,8726.0,7325.0,6070.0,3387.0,9.4,12.9,11.5,63681.0,16967.0,16459.0,508.0,63681.0,87.7,263.2,231.8,90.3,81.7,7.3,6.3,19.26483921,9.043030824,0.413002359,18.2753544,16.04256039,50.55837214,0.0,35265.0,9382.0,194.0,46.0,51.0,137.0,28922.0,12338.0,32.4,9371.0,8.0,8.3,2414.0,12.2,3516.0,3.2,936.0,6.0
2043.0,2593.0,2469.0,2364.0,2789.0,3823.0,4684.0,3100.0,1548.0,23659.0,175.0,751.0,109.0,13.0,706.0,25413.0,15.0,390.0,7.5,14.4,-6.9,0.0,7.5,7.5,1821.0,7339.0,6222.0,3972.0,3359.0,13.4,25.9,24.1,48589.0,10682.0,9699.0,983.0,48589.0,85.8,287.0,249.7,97.8,87.6,7.9,6.7,11.23713637,9.617666717,0.366096751,18.85144031,15.31250506,51.61709949,0.0,25475.0,8824.0,842.0,22.0,26.0,31.0,21250.0,10938.0,36.2,7693.0,10.8,11.5,2450.0,14.0,2977.0,3.9,821.0,6.0
1856.0,1981.0,1926.0,2187.0,2068.0,2969.0,4620.0,3094.0,1335.0,19817.0,259.0,634.0,464.0,45.0,817.0,22036.0,352.0,282.0,8.9,15.6,-6.7,0.8,21.8,22.6,1962.0,4923.0,6532.0,2943.0,3354.0,15.4,21.0,20.1,46365.0,8403.0,7825.0,578.0,46365.0,62.6,278.8,246.3,100.6,91.7,6.9,6.1,8.880966602,5.579481158,0.269031586,10.96011288,12.9164404,32.50895809,0.0,20940.0,8028.0,1768.0,47.0,53.0,49.0,18524.0,9564.0,39.0,7224.0,10.7,9.7,1793.0,14.5,2695.0,4.2,774.0,6.0
